idnumber,wages,los,banksize
1,48.335499,94,Large
2,49.027901,48,Small
3,40.881699,102,Small
4,36.5854,20,Small
5,46.759602,60,Large
6,59.5238,78,Small
7,39.130402,45,Large
8,39.246498,39,Large
9,40.203701,20,Large
10,38.1563,65,Small
11,50.0905,76,Large
12,46.904301,48,Small
13,43.1894,61,Small
14,60.563702,30,Large
15,97.680099,70,Large
16,48.579498,108,Large
17,67.155098,61,Large
18,38.784698,10,Small
19,51.892601,68,Large
20,51.8326,54,Large
21,64.1026,24,Large
22,54.945099,222,Small
23,43.809502,58,Large
24,43.345501,41,Small
25,61.9893,153,Large
26,40.018299,16,Small
27,50.714298,43,Small
28,48.84,96,Large
29,34.340698,98,Large
30,80.586098,150,Large
31,33.716301,124,Small
32,60.3792,60,Large
33,48.84,7,Large
34,38.557899,22,Small
35,39.276001,57,Large
36,47.656399,78,Large
37,44.686401,36,Large
38,45.787498,83,Small
39,65.628799,66,Large
40,33.577499,47,Small
41,41.208801,97,Small
42,67.909599,228,Small
43,43.0942,27,Large
44,40.700001,48,Small
45,40.574799,7,Large
46,39.682499,74,Small
47,50.174198,204,Large
48,54.945099,24,Large
49,32.382198,13,Small
50,51.713001,30,Large
51,55.837898,95,Large
52,54.945099,104,Large
53,70.278603,34,Large
54,57.234402,184,Small
55,54.112598,156,Small
56,39.868698,25,Large
57,27.4725,43,Small
58,67.958397,36,Large
59,44.931702,60,Small
60,51.561199,102,Large
61,,36,Small
62,,36,Large
63,,72,Small
64,,72,Large
65,,240,Small
66,,240,Large
